Building Name,Filename,Coordinates,Date,Metadata tags,Notes/Description/Caption,,
Sbisa Dining Hall,3920163057_05e91ebfb7_o,"30.6168505924713, -96.34378753455043",,,Sbisa Dining Hall,,
Sbisa Dining Hall,3920163329_ca5fd05fdd_o,"30.6168505924713, -96.34378753455043",,,Sbisa Dining Hall,,
Sbisa Dining Hall,4666882610_81b0b71648_o,"30.6168505924713, -96.34378753455043",,,Sbisa Dining Hall,,
Thompson Hall,4174574386_226abe2fc3_o.jpg,"30.617323520914177, -96.34137444195822",,,Front view of Thompson,,
Thompson Hall,4174574340_ea2cddf167_o.jpg,"30.617323520914177, -96.34137444195822",,,Thompson Hall with water tower,,
Thompson Hall,4666881440_830bb53661_o.jpg,"30.617323520914177, -96.34137444195822",,,Thompson Hall with snow,,
Walton Hall,2899904494_e1dff58dbb_o.jpg,"30.616903065214725, -96.3453129036965",,,Walton Hall with snow,,
Walton Hall,2899899506_813686d4e2_o.jpg,"30.616903065214725, -96.3453129036965",,,Corner of Walton Hall,,
Walton Hall,3922754745_a76c6e2044_o.jpg,"30.616903065214725, -96.3453129036965",,,Other side of Walton Hall,,
YMCA,2899236217_6c3e4238d9_o.jpg,"30.615215714236037, -96.3423395170458",,,YMCA swimming pool,,
YMCA,2910359174_de05dc8e85_o.jpg,"30.615215714236037, -96.3423395170458",,,Front view of YMCA,,
YMCA,2909519605_63dd5a0e58_o.jpg,"30.615215714236037, -96.3423395170458",,,YMCA side view,,
YMCA,2910358526_3c106951d6_o.jpg,"30.615215714236037, -96.3423395170458",,,YMCA under construction,,
YMCA,4755098331_3939ddd983_o.jpg,"30.615215714236037, -96.3423395170458",,,YMCA with students in front,,
White Hall,4526237635_60047320f2_o.jpg,"30.612452116996202, -96.33610118521399",1972,,Students in front of White Hall,,
White Hall,4790466682_9d68e4824a_o.jpg,"30.612452116996202, -96.33610118521399",1939,,White Hall side view,,
White Hall,4790466954_9c6a402d9c_o.jpg,"30.612452116996202, -96.33610118521399",1940,,White Hall other side,,
Keist Hall,4793678227_114558439b_o.jpg,"30.614201636115872, -96.33753282225692",1940,,Keist Hall,,
Utay Hall,4789835603_99f580c899_o.jpg,"30.61183008665868, -96.3363978483381",1940,,Utay Hall side view,,
Utay Hall,4790468286_1e29f64f9c_o.jpg,"30.61183008665868, -96.3363978483381",1940,,Utay Hall front view,,
Fountain Hall,4793680555_a23f3d148d_o.jpg,"30.61343484116333, -96.33739374550798",1940,,Fountain Hall,,
Schuhmacher Hall,4387866616_2c8cf4687a_o.jpg,"30.617192189274476, -96.34547926335016",1974,,Students in front of Schuhmacher Hall,,
Schuhmacher Hall,4794314500_9264ba7b73_o.jpg,"30.617192189274476, -96.34547926335016",1940,,Schuhmacher Hall,,
Langford Building,3672397570_eaf6e6c155_o.jpg,"30.618824725128842, -96.33781906568043",1947,,Students in Langford,,
Langford Building,4117030669_320c2d580d_o.jpg,"30.618824725128842, -96.33781906568043",,,Inside of Langford,,
Langford Building,4117121557_ea61187229_o.jpg,"30.618824725128842, -96.33781906568043",,,Outside of Langford,,
Langford Building,4117800012_d076af0302_o.jpg,"30.618824725128842, -96.33781906568043",,,Langford under construction,,
Shirley Hotel,4666260481_31dddd79e0_o.jpg,,1951,,Shirley hotel,,
Sink Building,4666883440_3b98364ef7_o.jpg,,1951,,Sink Building,,
Heldenfels,4112673957_dd4df2bbfc_o.jpg,"30.615087199604684, -96.33853702806634",,,Heldenfels Hall sign,,
Heldenfels,4112673993_51465572d2_o.jpg,"30.615087199604684, -96.33853702806634",,,Front view of Heldenfels,,
Service Center,3788617863_cb5bc8eb4a_o.jpg,,1949,,Service Center front view,,
Service Center,3788618685_cdc39b62dc_o.jpg,,1952,,Service Center with people,,
Service Center,3789426244_615bafec1b_o.jpg,,1952,,Service Center back end,,
Hughes Hall,3546149511_028d87eb46_o.jpg,"30.615302350829253, -96.34496789569613",1969,,Hughes Hall with people,,
Hughes Hall,4387103845_026f82aaff_o.jpg,"30.615302350829253, -96.34496789569613",1972,,Hughes Hall with students,,
Horticulture Forest Science Building,3546127863_57e944e232_o.jpg,"30.609221542407447, -96.35019907434352",1991,,Front view of Horticulture/Forest Science Building,,
University Police,3543679862_5dfca05d2c_o.jpg,"30.60598742178482, -96.35884806879886",,,University Police Station,,
Mosher Hall,2898239999_e32338bdc3_o.jpg,"30.615723507293115, -96.33491224550782",,,Mosher Hall,,
Moses Hall,2899081476_9c33ceff9f_o.jpg,"30.61588103895704, -96.34567158783693",,,Moses Hall ,,
Moses Hall,4417116949_50c5881949_o.jpg,"30.61588103895704, -96.34567158783693",1972,,Moses Hall with student,,
Koldus Building,2822146469_92f2cea220_o.jpg,"30.612184744046687, -96.3398325561083",,,Koldus Building,,
Bachelor Hall and Buggy House,2822925726_9b7929c1be_o.jpg,,,,Bachelor House side view,,
Bachelor Hall and Buggy House,2822926584_9b245cae8b_o.jpg,,,,People posing in front of Bachelor Hall,,
Bachelor Hall and Buggy House,2822928504_8f88c079f8_o.jpg,,,,Bachelor Hall in ruins,,
Vet Anatomy Lab,4794314194_f73b359239_o.jpg,,,,Vet Anatomy Lab,,
Prexy's Home,4793685749_d20b8c1f3d_o.jpg,"30.61625199662652, -96.34385473192387",1963,,Prexy Home after fire,,
Prexy's Home,4794318274_e0bf54c636_o.jpg,"30.61625199662652, -96.34385473192387",1942,,Prexy Home before fire,,
Prexy's Home,4794318640_b0c40ee040_o.jpg,"30.61625199662652, -96.34385473192387",1963,,Prexy Home after fire,,
Science Building,3920165713_b508fe77f1_o.jpg,"30.615696608886644, -96.33968200199595",1966,,Science Building destruction,,
Science Building,3920951246_cf383b4891_o.jpg,"30.615696608886644, -96.33968200199595",1966,,Science Building,,
Assembly/Chapel,2846172157_ee26bf4ee1_o.jpg,"30.614377828667706, -96.34058762197493",1889,,Chapel Front view,,
Assmebly/Chapel,2846175731_4b6be85d3f_o.jpg,"30.614377828667706, -96.34058762197493",1889,,Chapel with students playing football,,
Assembly/Chapel,2847021632_78f8ce28e4_o.jpg,"30.614377828667706, -96.34058762197493",1889,,Chapel with parade,,
Hospital,3546938364_7b9feb2f23_o.jpg,"30.61604402675382, -96.3451571938193",,,,,
Hospital,4793684289_b3a19a4f01_o.jpg,"30.61604402675382, -96.3451571938193",,,,,
